"filename", "language", "TypeScript", "JSON with Comments", "Markdown", "JSON", "Inno Setup", "PostCSS", "HTML", "JavaScript", "Batch", "XML", "PowerShell", "TypeScript JSX", "SCSS", "comment", "blank", "total"
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\Frames\SettingsFrame\Tab\TabsContent\strategies\strategies.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 96, 1, 18, 115
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\Frames\SettingsFrame\Tab\TabsContent\strategies\strategies.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 102, 0, 0, 5, 107
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\Frames\SettingsFrame\Tab\TabsContent\strategies\strategy\edit.svg.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\Frames\SettingsFrame\Tab\TabsContent\strategies\strategy\strategy.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 5, 23
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\Frames\SettingsFrame\Tab\TabsContent\strategies\strategy\strategy.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 2, 18
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\Frames\SettingsFrame\Tab\TabsProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 3, 5, 29
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\Frames\SettingsFrame\back.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\blackScreen\blackScreen.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\blackScreen\blackScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 3, 8
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\button\button.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 169, 21, 14, 204
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\button\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 0, 0, 8, 81
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\button\dcloader\dcloader.css", "PostCSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
